excluded,r,p,r_change,n
AT,-0.8567363772407542,9.101335011632432e-05,-0.008429847997987072,14
BE,-0.8519300769849132,0.00010973587937661596,-0.003623547742146016,14
CH,-0.871434913190923,4.914416931920783e-05,-0.023128383948155862,14
DE,-0.8474864681381562,0.00012971952869115098,0.0008200611046109696,14
DK,-0.8567532070646399,9.095269240602159e-05,-0.008446677821872695,14
ES,-0.848312730993604,0.00012579611866601477,-6.20175083687613e-06,14
FI,-0.8515468394872042,0.00011135397434289702,-0.00324031024443705,14
FR,-0.8475012081448565,0.00012964867819396122,0.0008053210979106495,14
GB,-0.801921011743636,0.0005606323922020798,0.046385517499131224,14
IE,-0.8679877300828717,5.7153093862931296e-05,-0.019681200840104496,14
IT,-0.8635444827412293,6.901399938039239e-05,-0.015237953498462131,14
NL,-0.845553920044021,0.00013928477032489387,0.002752609198746203,14
NO,-0.7942833464037953,0.000691118054282813,0.054023182838971895,14
PT,-0.8566277596614399,9.140561906468592e-05,-0.00832123041867272,14
SE,-0.850615619537496,0.00011536662666730504,-0.0023090902947288106,14
