id,year,wave,country_new,nuts2_region,trust_eu,eu_pos,ec_exp,attach_cntry,trust_gov,lr,lr2,age,gender,edu,occ,gdp_reg,gdp_reg_ch_5,gdp_reg_ch_3,gdp_reg_ch_1,gdp_reg_gr,gdp_reg_gr_ch,gdp_reg_gr_ch_wlth,gdp_nat,GDP_2009,GDP_2010,GDP_2011,GDP_2012,GDP_2013,GDP_2014,GDP_2015,GDP_2016,GDP_2017,GDP_2018,GDP_2019,GDP_2020,_merge,nonmiss
2226,2016,862,AT,AT11,Tend not to tust,Other,Same,Attached,Tend not to trust,,,69,Female,16 to 19 years,Not working,25600,3500.0,1800.0,600.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,36600.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),0
2427,2017,873,AT,AT11,Tend not to tust,Other,Same,Attached,Tend to trust,,,71,Female,16 to 19 years,Not working,26400,3000.0,2300.0,800.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,37200.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),0
682,2014,823,AT,AT11,Tend not to tust,Other,Better,,Tend to trust,3,9.0,65,Male,20 years or older,,24100,,2000.0,300.0,Middle-income,,,,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
12968302,2011,753,AT,AT11,Tend to trust,Positive,Better,,Tend to trust,4,16.0,45,Female,16 to 19 years,,22100,,,900.0,Middle-income,,,,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
608,2015,833,AT,AT11,Tend to trust,Positive,Same,,Tend to trust,6,36.0,68,Male,16 to 19 years,Not working,25000,3800.0,1600.0,900.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,35900.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
1461,2018,903,AT,AT11,Tend to trust,Positive,Same,Attached,Tend not to trust,3,9.0,40,Female,16 to 19 years,Working,27100,3300.0,2100.0,700.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,38600.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
2386,2016,852,AT,AT11,Tend not to tust,Other,Same,,Tend not to trust,5,25.0,51,Male,16 to 19 years,Working,25600,3500.0,1800.0,600.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,36600.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
2756,2015,843,AT,AT11,Tend to trust,Other,Same,Attached,Tend to trust,4,16.0,79,Male,16 to 19 years,Not working,25000,3800.0,1600.0,900.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,35900.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
1697,2015,833,AT,AT11,Tend not to tust,Positive,Better,,Tend to trust,5,25.0,49,Male,16 to 19 years,Working,25000,3800.0,1600.0,900.0,Middle-income,Moderate improvement,Middle-income & moderate improvement,35900.0,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),1
512,2014,823,AT,AT11,Tend not to tust,Other,Worse,,Tend not to trust,,,69,Male,16 to 19 years,,24100,,2000.0,300.0,Middle-income,,,,20400,21200,22100,23400,23800,24100,25000,25600,26400,27100,27800,26400,matched (3),0
