name,essround,edition,proddate,idno,cntry,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,netuse,ppltrst,pplfair,pplhlp,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtat,prtvtabe,prtvtch,prtvtcz,prtvade1,prtvade2,prtvtdk,prtvtee,prtvtaes,prtvtfi,prtvtfr,prtvtgb,prtvtagr,prtvthu,prtvtie,prtvtis,prtvtait,prtvtlu,prtvtanl,prtvtno,prtvtpl,prtvtpt,prtvtse,prtvtasi,prtvtsk,prtvttr,prtvtua,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtclat,prtclabe,prtclch,prtclcz,prtclade,prtcldk,prtclee,prtclaes,prtclfi,prtclfr,prtclgb,prtclagr,prtclhu,prtclie,prtclis,prtclait,prtcllu,prtclanl,prtclno,prtclapl,prtclapt,prtclse,prtclasi,prtclsk,prtcltr,prtclua,prtdgcl,mmbprty,prtmbat,prtmbabe,prtmbch,prtmbcz,prtmbdk,prtmbade,prtmbee,prtmbaes,prtmbfi,prtmbfr,prtmbgb,prtmbagr,prtmbhu,prtmbie,prtmbis,prtmbait,prtmblu,prtmbanl,prtmbno,prtmbapl,prtmbpt,prtmbse,prtmbasi,prtmbsk,prtmbtr,prtmbua,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inmdisc,sclact,crmvct,aesfdrk,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipa,brncntr,cntbrtha,livecntr,lnghoma,lnghomb,blgetmg,facntr,fbrncnt,mocntr,mbrncnt,mdlswgt,mdhair,mdmemo,mdhappy,mdsexlf,hltherb,mdsdeff,prfmddc,ddprsmd,usmdprs,usmprse,advsthr,prcsthr,advhach,prchach,advslep,prcslep,advbach,prcbach,chsrgp,prfsmdc,tmcnsdc,illcure,pplcure,pprlydc,psmdcpr,follwdc,dsplvpr,dckptrt,dctreql,dcdisc,ptnrlcq,dcadmms,dcdfcwr,ctzhlpo,scbevts,ctzchtx,tstrprh,tstfnch,tstpboh,rprochg,fodcncl,bnkfldl,scndhfl,pboafvr,wrytrdh,pyavtxw,slcnflw,flinsrw,pbofvrw,mnyacth,olwmsop,ignrlaw,bsnprft,frmwktg,cmprcti,frdbnft,kptchng,payavtx,slcnsfl,musdocm,flinsr,pbofvr,flgvbnf,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,gndr16,gndr17,gndr18,yrbrn,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,yrbrn16,yrbrn17,yrbrn18,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,rshipa16,rshipa17,rshipa18,domicil,hhmodwl,rmhhus,edulvla,eisced,edlvbe,edlvach,edlvcz,edlvde,edlvadk,edlvee,edlvaes,edlvfr,edlvagb,edlvgr,edlvahu,edlvie,edlvait,edlvlu,edlvnl,edlvno,edlvapl,edlvpt,edlvse,edlvsk,edlvua,edufld,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngdk,dngref,dngna,icomdng,mainact,mnactic,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkdcpce,wkhct,wkhtot,iscoco,nacer11,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnt,pphincr,hincfel,brwmny,partner,edulvlpa,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,icomdnp,mnactp,crpdwkp,iscocop,emprelp,emplnop,jbspvp,njbspvp,wkdcorp,ioactp,wkhtotp,edulvlfa,emprf14,emplnof,jbspvf,occf14a,edulvlma,emprm14,emplnom,jbspvm,occm14a,atncrse,marital,martlfr,lvghw,lvgoptn,lvgptn,lvgptne,icmsw,dvrcdev,chldhm,chldhhe,moalv,faalv,gdsprt,clmrlx,actvgrs,frshrst,lfintr,wmcpwrk,mnrsphm,mnrgtjb,prntghr,prrfmly,icptn,yrlvptn,dsgrhwk,dsgrmny,dsgrpwk,gwhhprc,gwdvhwk,icptnwk,wkengtp,wkovtmp,ptnwkwe,hwktwd1,hwkpwd1,hwkpwdp,hwktwe1,hwkpwe1,hwkpwep,ichwk1,hwktwd2,hwkpwd2,hwktwe2,hwkpwe2,ichwk2,tngdohm,hwkmono,chdohwk,hwkstrs,hmeqphw,lkafohh,updhlrl,updhlrp,cld12hh,cldcrot,cldcrmr,cldnhh,cldnhhn,iccldnh,cldnhhg,clnhhyb,clnhhbo,clnhhby,cldnhhd,clfncsp,clhwksp,clfncrc,clhwkrc,icag45y,plnchld,icmnac,icempl,jbcoedu,jbedyrs,jblrn,vrtywrk,jbrqlrn,jbscr,wgdpeft,hlpcowk,dcsfwrk,hlthrwk,wrkhrd,nevdnjb,oprtad,nbsrsp,bsmw,ppwwkp,yrcremp,trndnjb,wrkspv,smbtjoba,rpljbde,tmtowrk,wrkengt,wkovrtm,wrkwe,wrywprb,trdawrk,jbprtfp,icnopfm,pfmfdjb,dfcnswk,icemplr,grspay,netpay,payprd,stdlvl,prmpls,quclss,tchtruf,stdtruf,tchints,tchlcrt,stdask,stpvtfm,fmpvtst,tchlp,stdhrsw,stdmcdo,crspce,rtryr,wntrtr,icagu70,ipjbscr,ipjbhin,ipjbprm,ipjbini,ipjbwfm,wkhsch,fstjbyr,yrspdwk,icgndr,icchld,flthmcc,fthcncr,ptmhmcc,pthcncr,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,regionat,regionbe,regioach,regioncz,regionde,regiondk,regionee,regiones,regioafi,regionfr,regiongb,regiongr,regionhu,regionie,regionis,regionit,regionlu,regionnl,regionno,regionpl,regionpt,regionse,regionsi,regionsk,regiontr,regionua,intewde,inwdd,inwmm,inwyr,inwshh,inwsmm,inwehh,inwemm,inwtm,spltadma,supqad1,supqad2,supqdd,supqmm,supqyr,dweight,pspwght,pweight
ESS2e03_6,2,3.6,01.12.2018,3485,AT,2,2,7,1,7,2,1,8,8,8,2,2,3,7,6,7,6,5,1,3,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,1,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,7,9,7,7,9,5,6,4,2,1,3,2,2,3,3,5,5,5,9,4,1,3,1,3,2,3,1,1,,,7,7,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,4,3,1,3,5,6,6,6,5,2,,1,,1,,4,,4,,,2,4,1,1,1,,3,5,,,,,,,,,,,,,1,1,1,1,1,1,2,4,2,4,4,2,3,2,1,1,5,1,1,1,6,6,6,6,2,2,1,,,,,,,,,,,,,,,,,1930,75,1921,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,1,2,3,3,0,,,,,,,,,,,,,,,,,,,,,,1,10.0,0,0,0,0,0,1,0,0,0,0,0,0,2,,6,2,1,1985,1,,1,5,2,,5,5,5,40.0,40.0,4121,75,2,2,,,2,4,11,,1,,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,2,,,,,,,,,2,3,,,,2,1,,2,7,2,1,,1,,,2,1,2,2,2,2,2,2,2,2,2,2,3,1,5,2,1,1,1953,1,1,1,3,3,2,,,,4.0,3,3,2,4,2,2,,,,,,4,4,2,5,8,2,1,2,2,,,2,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1985,1,2,,,,,,,1949,,1,2,,,,,3,6,2,3,2,4,,,4,3,2,2,5,2,4,1,2,2,2,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,,15,2,2005,8,30,9,17,47,1,,1,15,2,2005,0.8371000289916992,1.1230971813201904,0.30200639367103577
ESS2e03_6,2,3.6,01.12.2018,3404,AT,6,2,1,1,2,0,0,1,1,2,2,4,4,5,8,8,4,4,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,1,2,2,5,1,2,2,2,3,1,3,3,3,8,8,5,1,5,1,3,2,3,1,2,1,1,,,5,4,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,3,2,2,2,2,2,5,5,4,2,4,2,,4,,1,,4,,1,1,4,4,2,2,2,2,5,3,2,4,1,,2,2,2,2,5,5,5,1,1,2,1,1,1,2,3,3,4,4,3,4,3,4,2,2,1,1,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,1924,81,1929,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,3,1,5,3,0,,,,,,,,,,,,,,,,,,,,,,4,12.0,0,0,0,0,0,1,0,0,0,0,0,0,2,,6,2,1,1985,3,,3,4,1,50.0,1,1,1,40.0,40.0,5220,51,2,2,,,3,4,5,7,3,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,2,,,,,,,,,3,2,3,,8,2,4,,,,2,1,,1,,,2,1,2,2,1,2,2,1,1,1,1,1,3,2,4,2,2,1,1953,7,7,7,3,3,2,,,,3.0,3,3,1,2,3,2,,,,,,2,2,2,3,10,2,1,1,2,,,1,2,2,,,1955,1957,0,3,3,3,3,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1984,1,2,,,,,,,1945,40.0,2,,,,,,3,4,2,3,2,4,3,3,1,2,2,2,2,2,5,2,3,2,2,2,2,8,,,,,,,,,,,,,,,,,,,,,,,,,,,28,2,2005,9,20,11,30,130,1,,1,28,2,2005,0.8371000289916992,0.7386480569839478,0.30200639367103577
ESS2e03_6,2,3.6,01.12.2018,2762,AT,5,2,7,3,1,1,0,5,5,5,2,3,3,10,8,8,5,5,6,5,1,4,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,8,6,5,8,4,7,2,2,2,2,10,1,1,1,8,8,7,7,4,2,3,2,2,2,3,2,,1,1,5,6,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,5,2,2,5,4,2,2,4,4,1,4,4,,4,,4,,4,,1,1,3,4,2,2,3,2,5,2,5,5,2,,2,2,4,2,4,4,4,1,1,,,1,2,3,3,3,4,5,2,5,3,2,2,1,1,1,1,1,1,1,1,1,2,,,,,,,,,,,,,,,,,,1921,84,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,1,5,5,0,,,,,,,,,,,,,,,,,,,,,,1,16.0,0,0,0,0,0,1,0,0,0,0,0,0,2,,6,2,1,1981,1,,1,3,2,,0,0,0,22.0,32.0,2331,80,2,1,1,2,1,4,8,7,1,4,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,3,1,,1,3,3,3,,,,2,5,,,,2,2,2,,2,2,2,2,3,3,3,3,3,3,2,2,4,1,2,,,,,,,,,,,,,,,,,,2.0,6,1.0,6,2,4,2,1,4,10,2,1,2,2,,,2,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1981,1,2,,,,,,,1947,35.0,1,2,,,,,2,6,1,4,3,2,5,2,2,4,1,2,3,2,4,2,4,2,2,4,5,6,,,,,,,,,,,,,,,,,,,,,,,,,,,4,3,2005,16,20,17,47,87,3,,1,4,3,2005,0.4185999929904938,1.451503038406372,0.30200639367103577
ESS2e03_6,2,3.6,01.12.2018,2379,AT,3,0,5,0,2,0,7,4,4,4,4,5,2,0,0,0,0,0,0,0,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,0,6,4,4,4,4,4,2,2,2,2,4,1,1,1,7,9,8,8,7,1,4,2,2,1,3,1,7,,,8,5,2,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,66,1,66,,GER,000,1,2,SI,2,HR,1,1,1,1,1,2,3,3,7,2,4,4,,4,,4,,4,,2,1,2,2,3,2,4,1,4,1,4,4,4,2,4,2,1,1,2,4,2,2,1,1,,4,3,3,3,3,3,4,2,4,1,1,4,2,1,1,1,1,1,1,1,1,1,,,,,,,,,,,,,,,,,,1980,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,3,0,,,,,,,,,,,,,,,,,,,,,,9,14.0,0,1,0,0,0,0,0,0,0,0,0,0,2,,2,1,,,1,,1,1,2,,4,0,0,20.0,20.0,5220,55,2,2,,,3,1,,7,2,2,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,2,4,,,,2,3,,,,1,5,,,,2,1,2,,2,2,1,2,2,3,3,3,2,1,4,1,4,1,2,,,,,,,,,,,,,,,,,,1.0,6,2.0,6,2,5,1,1,5,6,2,3,1,2,,,2,,,,,,,,,,,,1,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,2,2,2,2,4,4,2,4,4,3,25,2,3,,,1,5,4,5,5,5,35.0,2004,1.0,2,,,,,,2,3,1,3,2,3,2,2,3,2,2,1,2,1,2,4,2,1,2,1,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,,14,2,2005,12,0,13,15,75,1,,1,14,2,2005,0.4185999929904938,0.39382773637771606,0.30200639367103577
ESS2e03_6,2,3.6,01.12.2018,902,AT,2,2,1,1,1,1,3,4,6,6,3,3,3,3,6,6,3,2,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,9,6,3,4,7,5,2,2,1,4,,2,2,2,5,5,5,8,6,1,5,2,1,1,3,1,1,,,8,3,1,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,5,4,5,5,5,3,2,6,4,2,4,5,,4,,4,,4,,1,1,3,2,2,2,4,2,5,2,3,4,2,2,2,3,4,2,2,4,4,2,4,3,1,1,2,2,4,3,4,5,2,4,2,,,5,1,3,1,1,1,1,1,2,2,1,,,,,,,,,,,,,,,,,1973,32,1967,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,1,6,4,0,,,,,,,,,,,,,,,,,,,,,,6,15.0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,,,,1,,1,1,2,,9,,5,38.0,45.0,2331,80,2,2,,,1,1,7,3,1,3,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,,7113,1,,2,,8,,39.0,3,1,,2,3,4,1,,2,2,1,1,,1,,,2,1,2,2,2,1,1,2,2,2,2,1,4,1,5,3,1,1,2002,3,1,1,3,3,1,1,4,1,2.0,4,3,5,4,3,2,,,,,,5,4,2,4,9,2,6,1,2,,,2,,,,,,,,,,,,1,4,1,1,1,6,3,4,4,3,1,3,2,2,2,4,5,2,1,6,1995,3,2,8,1,8.0,1,4,1,3,2,2,2,1,1,1,1900.0,,6,,,,,,,,,,,,,,,,,1,4,3,3,4,5,40.0,1995,10.0,1,2,,,,,2,5,1,5,2,2,5,2,2,3,1,2,5,1,4,3,5,1,2,1,2,3,,,,,,,,,,,,,,,,,,,,,,,,,,,22,2,2005,16,43,18,23,100,3,,1,22,2,2005,0.8371000289916992,0.8757231831550598,0.30200639367103577
ESS2e03_6,2,3.6,01.12.2018,520552262,BE,5,2,0,,0,,0,0,5,5,1,1,4,0,2,0,0,2,2,,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,,14,,,,,,,,,,,,,,,,,,,,,,,,,4,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,0,0,0,0,8,1,5,1,1,1,4,4,4,0,0,0,8,6,1,3,2,1,2,3,2,,1,1,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,FRE,WAL,2,1,66,1,66,5,2,5,4,5,2,1,5,4,2,4,4,,4,,4,,4,,1,1,3,4,1,1,2,1,5,1,5,5,4,2,1,2,1,5,5,4,4,1,1,1,1,1,1,1,4,2,4,1,5,3,4,1,3,2,2,3,1,1,1,1,1,2,1,2,,,,,,,,,,,,,,,,,1941,63,1938,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,4,1,3,2,2,2,,,,,,,,,,,,,,,,,,,,,,8.0,0,0,0,0,0,1,0,1,0,0,0,0,1,6,6,2,1,1996,2,0,,1,1,3.0,10,10,10,,,1313,45,2,2,,,3,4,6,4,1,4,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,2,,2,,,,,,,,,1,1,,2,7,1,1,,2,7,2,1,,1,,,2,1,2,2,2,2,2,1,1,1,1,5,2,2,3,4,2,1,1962,1,1,1,3,3,2,,,,3.0,1,6,1,1,6,1,,,,,,,,,,10,2,4,1,2,,,2,,,,,,,,,,,,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2004,1,1,5,3,4,5,2,80.0,1957,48.0,2,,,,,,2,5,2,3,2,4,2,2,2,2,1,2,4,2,2,2,4,2,2,2,2,,3,,,,,,,,,,,,,,,,,,,,,,,,,,27,10,2004,10,25,11,16,51,2,,1,27,10,2004,1.0,1.2182198762893677,0.48356708884239197
ESS2e03_6,2,3.6,01.12.2018,230030575,BE,5,3,,,1,1,6,5,5,8,2,3,2,6,8,9,5,5,6,8,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,5,7,4,4,0,9,7,3,1,2,2,5,2,3,3,3,5,3,7,6,1,3,2,3,2,3,2,,2,,5,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,DUT,000,2,1,66,1,66,5,2,3,3,2,2,1,5,4,2,4,4,,4,,8,6,8,8,1,1,2,4,2,2,2,2,4,1,2,4,2,4,2,2,2,2,4,4,4,1,2,1,1,1,2,1,4,4,4,4,4,4,2,2,2,1,2,1,1,1,1,1,1,4,2,2,2,1,,,,,,,,,,,,,,,1985,19,1982,1959,1959,,,,,,,,,,,,,,,4,3,3,,,,,,,,,,,,,,,4,1,4,2,2,3,,,,,,,,,,,,,,,,,,,,,1,9.0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,,,,1,,2,1,2,,8,7,8,36.0,36.0,5141,93,2,2,,,3,1,,3,1,4,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,2,1,,2,4,3,1,,1,1,1,5,,,,2,2,2,,2,2,1,1,5,5,5,6,2,2,1,4,4,2,2,,,,,,,,,,,,,,,,,,,2,,2,2,2,4,2,4,10,2,5,1,2,,,2,,,,,,,,,,,,1,2,1,1,1,4,5,3,3,3,1,3,1,1,2,4,2,,1,6,2002,4,4,7,4,15.0,1,1,5,2,2,2,2,2,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,4,4,4,38.0,2002,2.0,1,2,,,,,2,4,2,2,2,2,5,2,3,2,2,1,3,4,2,3,5,1,3,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,3,12,2004,13,46,14,35,49,2,,1,3,12,2004,1.0,1.3976666927337646,0.48356708884239197
ESS2e03_6,2,3.6,01.12.2018,630722783,BE,1,1,1,1,1,1,1,5,5,3,2,3,2,4,4,5,3,4,6,6,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,3,5,6,2,4,7,7,4,3,2,2,7,2,2,2,7,6,5,6,5,2,2,1,2,2,3,2,,2,,7,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,2,CG,5,FRE,000,2,1,66,2,CG,4,4,2,3,3,1,5,4,4,2,4,3,,4,,1,,4,,1,2,2,4,2,3,2,2,4,2,2,2,1,1,2,3,4,2,4,3,4,1,3,2,1,1,3,3,4,3,4,5,2,4,2,2,2,1,2,1,1,1,1,1,1,6,1,2,2,2,2,2,,,,,,,,,,,,,1958,46,1962,1982,1986,1989,1994,,,,,,,,,,,,,1,2,2,2,2,,,,,,,,,,,,,3,1,10,5,7,8,,,,,,,,,,,,,,,,,,,,,4,16.0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,,,,1,,1,3,2,,6,3,2,38.0,44.0,3118,73,2,1,2,2,1,1,8,6,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,,4222,1,,2,,7,2,19.0,2,1,,1,6,1,2,1,,,2,1,,1,,,2,1,2,1,,1,1,6,5,6,6,6,2,2,3,3,3,1,1981,1,1,1,3,4,1,4,1,4,4.0,1,6,12,1,6,1,,,,,,,,,,8,2,2,1,1,9,,2,,,,,,,,,,,,2,,1,1,2,,5,2,1,2,2,2,2,1,3,2,4,2,1,2,2001,5,2,1,8,90.0,6,6,1,4,4,3,2,2,1,1,,,,,,,,,,,,,,,,,,,,1,4,5,4,3,3,40.0,1982,22.0,2,,,,,,5,5,3,5,4,3,3,3,2,3,2,5,5,3,5,3,4,2,2,2,4,,3,,,,,,,,,,,,,,,,,,,,,,,,,,26,11,2004,17,35,18,40,65,3,,1,26,11,2004,1.0,0.731406569480896,0.48356708884239197
ESS2e03_6,2,3.6,01.12.2018,340221067,BE,4,0,7,1,0,,1,0,8,8,4,4,2,4,6,9,4,5,6,6,1,,2,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,1,2,5,8,6,5,2,4,2,6,3,3,3,4,5,5,10,3,1,2,2,2,2,3,1,1,,,4,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,DUT,000,2,1,66,1,66,5,2,4,5,4,1,1,5,4,2,4,2,,2,,2,,2,,1,1,3,3,2,2,4,2,4,2,4,5,1,,4,2,5,4,,4,,,,,,,2,2,4,3,3,4,4,4,1,2,1,2,1,1,1,1,1,1,1,3,2,2,1,,,,,,,,,,,,,,,,1983,21,1952,1981,,,,,,,,,,,,,,,,3,4,,,,,,,,,,,,,,,,3,1,6,3,4,5,,,,,,,,,,,,,,,,,,,,,9,12.0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,,,,1,,1,1,2,,6,0,3,38.0,,5220,85,2,2,,,1,1,,2,1,4,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,,,4,,,,3,1,,1,2,2,5,,,,2,2,2,,2,,1,1,1,4,1,2,1,3,1,5,5,1,2,,,,,,,,,,,,,,,,,,3.0,1,10.0,1,1,,,,,8,2,1,1,2,,,2,,,,,,,,,,,,1,,1,1,2,,4,4,2,4,1,4,1,1,2,2,2,3,1,4,2002,1,2,3,6,10.0,1,1,5,3,3,6,1,,,1,,,,,,,,,,,,,,,,,,,,1,5,4,3,2,1,38.0,2002,2.0,1,,1,,1,,3,6,1,1,2,3,4,2,2,1,2,2,3,2,5,2,2,2,2,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,,20,10,2004,20,31,21,55,84,1,,1,20,10,2004,1.0,0.7922661900520325,0.48356708884239197
ESS2e03_6,2,3.6,01.12.2018,230620665,BE,1,1,3,1,1,1,7,4,2,5,3,3,3,1,1,3,1,1,1,1,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,8,6,1,2,7,7,1,1,2,3,1,2,3,2,7,5,5,8,4,1,1,2,3,2,3,1,1,,,2,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,DUT,000,2,1,66,1,66,4,4,3,3,3,4,4,5,4,1,3,4,,4,,4,,4,,1,1,5,3,2,2,4,2,5,2,4,4,1,2,2,2,3,2,3,4,2,2,5,2,1,1,3,2,3,4,4,2,2,5,2,4,2,1,1,3,1,1,1,1,1,4,2,1,1,2,,,,,,,,,,,,,,,1964,40,1963,1987,1990,,,,,,,,,,,,,,,1,2,2,,,,,,,,,,,,,,,4,1,4,5,6,7,,,,,,,,,,,,,,,,,,,,,9,14.0,1,0,0,0,0,0,0,0,0,0,0,0,2,,1,,,,1,,1,2,1,6.0,9,8,9,38.0,39.0,4100,51,2,2,,,2,1,8,5,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,2,,,4100,1,,2,,7,0,40.0,55,1,,1,2,2,2,1,,8,2,1,,1,,,2,1,2,1,,1,1,4,5,5,5,5,4,2,4,4,2,1,1985,1,1,1,3,3,1,1,1,1,4.0,4,3,4,4,3,2,,,,,,2,4,2,3,7,2,5,1,2,,,2,,,,,,,,,,,,1,1,1,1,1,3,3,4,3,3,1,3,2,2,1,2,2,4,1,2,2001,3,4,9,7,3.0,1,2,1,4,3,4,2,3,3,1,2360.0,,6,,,,,,,,,,,,,,,,,1,5,4,3,3,4,30.0,1984,20.0,1,1,2,3,7,4,4,6,2,4,3,4,4,2,3,4,4,3,4,4,5,2,3,1,3,4,6,,1,,,,,,,,,,,,,,,,,,,,,,,,,,15,12,2004,13,2,14,14,72,2,,1,15,12,2004,1.0,0.8733934760093689,0.48356708884239197
