name,essround,edition,proddate,idno,cntry,tvtot,tvpol,rdtot,rdpol,nwsptot,nwsppol,netuse,ppltrst,pplfair,pplhlp,polintr,polcmpl,poldcs,trstprl,trstlgl,trstplc,trstplt,trstprt,trstep,trstun,vote,prtvtaat,prtvtabe,prtvtbg,prtvtach,prtvtcy,prtvbde1,prtvbde2,prtvtadk,prtvtaee,prtvtaes,prtvtfi,prtvtafr,prtvtagb,prtvtahu,prtvtie,prtvtlv,prtvtbnl,prtvtno,prtvtapl,prtvtapt,prtvtro,prtvtru,prtvtse,prtvtbsi,prtvtask,prtvtaua,contplt,wrkprty,wrkorg,badge,sgnptit,pbldmn,bctprd,clsprty,prtclaat,prtclabe,prtclbg,prtclach,prtclcy,prtclbde,prtcladk,prtclaee,prtclaes,prtclfi,prtclafr,prtclagb,prtclahu,prtclaie,prtcllv,prtclnl,prtclno,prtclbpl,prtclbpt,prtclro,prtclru,prtclse,prtclbsi,prtclask,prtclaua,prtdgcl,mmbprty,prtmbaat,prtmbabe,prtmbbg,prtmbach,prtmbcy,prtmbbde,prtmbadk,prtmbaee,prtmbaes,prtmbfi,prtmbafr,prtmbagb,prtmbahu,prtmbie,prtmblv,prtmbnl,prtmbno,prtmbbpl,prtmbapt,prtmbro,prtmbru,prtmbse,prtmbbsi,prtmbask,prtmbaua,lrscale,stflife,stfeco,stfgov,stfdem,stfedu,stfhlth,gincdif,freehms,prtyban,scnsenv,euftf,imsmetn,imdfetn,impcntr,imbgeco,imueclt,imwbcnt,happy,sclmeet,inmdisc,sclact,crmvct,aesfdrk,brghmwr,brghmef,crvctwr,crvctef,trrenyr,trrcnyr,trrprsn,trrtort,health,hlthhmp,rlgblg,rlgdnm,rlgblge,rlgdnme,rlgdgr,rlgatnd,pray,dscrgrp,dscrrce,dscrntn,dscrrlg,dscrlng,dscretn,dscrage,dscrgnd,dscrsex,dscrdsb,dscroth,dscrdk,dscrref,dscrnap,dscrna,ctzcntr,ctzshipa,brncntr,cntbrtha,livecntr,lnghoma,lnghomb,blgetmg,facntr,fbrncnt,mocntr,mbrncnt,evpdemp,pdempyr,lvpntyr,evlvptn,lvptnyr,evmar,maryr,bthcld,nbthcld,fcldbrn,ycldbyr,ngchld,ygcdbyr,ggchld,brnmm,icsbfm,ageadlt,agemage,ageoage,adllvhm,adftjob,adlvptn,adpnt,oldfrl,oldgpnt,oldhlpo,iaglptn,iaglvmr,iagpnt,iagrtr,tygledu,tygsexi,tyglvp,tyglvmr,tygpnt,tygrtr,tolvpnt,tochld,towkht,anvcld,alvgptn,acldnmr,aftjbyc,advcyc,rpntyng,rwkold,rnvcld,rlvgptn,rcldnmr,rftjbyc,rdvcyc,plnftr,wrinco,rspslvo,svclvo,wkvlorg,hlpoth,atnoact,optftr,pstvms,flrms,lfcllk,fltdpr,flteeff,slprl,wrhpp,fltlnl,enjlf,fltsd,cldgng,enrglot,fltanx,flttrd,absddng,fltpcfl,fltbrd,fltrstm,dclvlf,enjstm,lchshcp,lrnnew,accdng,plprftr,wrbknrm,pactlot,stflfsf,stfsdlv,fmlenj,fmlstrs,chlrnnw,pplahlp,trtrsp,trtunf,rcndsrv,dngval,hlprtrn,nhpftr,ppllfcr,lfwrs,flclpla,fstwttv,pdwrkcr,stfjb,stfjbot,jbintr,jbstrs,uempnyr,pdaprp,inccmp,inccmpw,hhmmb,gndr,gndr2,gndr3,gndr4,gndr5,gndr6,gndr7,gndr8,gndr9,gndr10,gndr11,gndr12,gndr13,gndr14,gndr15,yrbrn,age,agea,yrbrn2,yrbrn3,yrbrn4,yrbrn5,yrbrn6,yrbrn7,yrbrn8,yrbrn9,yrbrn10,yrbrn11,yrbrn12,yrbrn13,yrbrn14,yrbrn15,rshipa2,rshipa3,rshipa4,rshipa5,rshipa6,rshipa7,rshipa8,rshipa9,rshipa10,rshipa11,rshipa12,rshipa13,rshipa14,rshipa15,domicil,edulvla,eisced,edlvbe,edlvbg,edlvbch,edlvcy,edlvade,edlvadk,edlvaee,edlvaes,edlvafr,edlvgb,edlvahu,edlvaie,edlvlv,edlvnl,edlvno,edlvapl,edlvapt,edlvro,edlvru,edlvase,edlvsi,edlvsk,edlvua,edufld,eduyrs,pdwrk,edctn,uempla,uempli,dsbld,rtrd,cmsrv,hswrk,dngoth,dngdk,dngref,dngna,mainact,mnactic,rtdsbyr,ablrtr,crpdwk,pdjobev,pdjobyr,emplrel,emplno,wrkctra,estsz,jbspv,njbspv,wkdcorga,iorgact,wkhct,wkhtot,iscoco,nacer11,wrkac6m,uemp3m,uemp12m,uemp5yr,mbtru,hincsrca,hinctnt,hincfel,brwmny,partner,edulvlpa,pdwrkp,edctnp,uemplap,uemplip,dsbldp,rtrdp,cmsrvp,hswrkp,dngothp,dngdkp,dngnapp,dngrefp,dngnap,mnactp,crpdwkp,iscocop,emprelp,emplnop,jbspvp,njbspvp,wkdcorp,ioactp,wkhtotp,edulvlfa,emprf14,emplnof,jbspvf,occf14a,edulvlma,emprm14,emplnom,jbspvm,occm14a,atncrse,maritala,lvghwa,lvgptna,lvgptne,dvrcdev,chldhm,chldhhe,fxltph,mbltph,inttph,ipcrtiv,imprich,ipeqopt,ipshabt,impsafe,impdiff,ipfrule,ipudrst,ipmodst,ipgdtim,impfree,iphlppl,ipsuces,ipstrgv,ipadvnt,ipbhprp,iprspot,iplylfr,impenv,imptrad,impfun,regionat,regionbe,regionbg,regioach,regioncy,regionde,regiondk,regionee,regioaes,regioafi,regionfr,regiongb,regionhu,regioaie,regionlv,regionnl,regionno,regionpl,regionpt,regionro,regionru,regionse,regionsi,regionsk,regionua,intewde,inwdds,inwmms,inwyys,inwshh,inwsmm,inwdde,inwmme,inwyye,inwehh,inwemm,inwtm,spltadmb,supqad1,supqad2,supqdd,supqmm,supqyr,dweight,pspwght,pweight
ESS3e03_7,3,3.7,01.12.2018,5051.0,AT,3,2,3,2,3,3,6,5,6,6,2,2,4,7,8,8,7,7,7,5,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,4,5,6,9,4,7,1,1,1,2,7,2,2,2,8,8,8,8,7,1,4,2,,4,,4,,2,3,1,1,1,,2,,2,,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,2,BG,,GER,000,1,2,BG,2,BG,1,1995,1992,1,1992,1,2001,1,1,2004,,,,,11,2,18,40,65,3,5,5,5,1,1,1,23,35,35,65,17,17,17,18,18,60,30,50,70,3,3,3,3,3,3,3,3,3,3,3,3,5,6,6,2,3,5,5,2,2,4,2,2,1,2,4,1,4,1,1,3,1,3,2,3,1,4,1,4,4,1,1,3,4,1,7,7,5,2,5,4,5,0,4,1,4,5,1,4,2,4,2,,,,,,,,,3,2,1,2,,,,,,,,,,,,,1972,34.75,35,1952,2004,,,,,,,,,,,,,1,2,,,,,,,,,,,,,1,5,0,,,,,,,,,,,,,,,,,,,,,,,,3,22.0,0,0,0,0,0,0,0,1,0,0,0,0,,8,,7,2,1,,,,,,,,,,,,,,,2,,,3,2,,2,3,1,4,1,0,0,0,0,0,0,0,0,0,0,0,0,,,2452,2,0,2,,10,10,50.0,5,1,,1,2,4,3,,,,1,1,1,,,2,1,,1,1,1,1,6,1,4,3,1,5,1,6,1,1,4,5,4,2,6,4,1,1,5,1,9,,,,,,,,,,,,,,,,,,,,,,,,,,30,8,2007,19,0,30,8,2007,20,0,60,3,3,1,30,8,2007,0.8285999894142151,2.1614818572998047,0.2891160845756531
ESS3e03_7,3,3.7,01.12.2018,3470.0,AT,5,2,2,1,2,1,7,3,3,5,2,3,3,6,7,4,5,7,3,4,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,1,1,1,2,1,1,1,,,,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,,,,,,,,,,,,,,,,,,,,2,8,6,4,6,7,10,1,4,1,2,6,2,3,3,6,6,5,8,6,1,4,2,2,3,3,3,3,3,4,2,2,2,3,1,1,,,5,5,6,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,1,1976,1978,1,1980,1,2001,1,2,1994,1995,,,,5,1,20,40,60,2,2,2,3,3,3,4,25,25,28,57,16,17,20,25,28,57,22,42,57,2,3,2,1,1,2,1,2,2,3,1,2,3,10,10,2,4,4,4,2,2,5,2,1,1,1,2,1,3,1,1,3,1,1,3,3,1,3,2,3,2,2,1,2,3,2,8,9,5,2,5,3,5,2,4,2,3,4,2,2,2,4,1,9,8,5,3,3,2,4,1,4,1,2,1,2,,,,,,,,,,,,1961,46.41999816894531,46,1960,1994,1995,,,,,,,,,,,,1,2,2,,,,,,,,,,,,4,3,0,,,,,,,,,,,,,,,,,,,,,,,,1,15.0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,3,,,,1,,1,3,2,,3,5,38.0,38.0,8253,21,2,2,,,1,1,1,2,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,3,1,,1,5,3,2,2,,5,1,1,1,,,2,1,,1,1,1,3,3,2,3,2,3,2,2,3,2,2,2,2,2,3,3,3,2,2,2,2,6,,,,,,,,,,,,,,,,,,,,,,,,,,2,10,2007,13,0,2,10,2007,14,30,90,2,3,1,2,10,2007,0.8285999894142151,0.6834865808486938,0.2891160845756531
ESS3e03_7,3,3.7,01.12.2018,3087.0,AT,7,2,0,,0,,1,0,0,0,4,1,5,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,3,3,3,3,2,1,3,3,3,0,4,4,4,0,0,0,0,1,2,1,2,1,4,,4,,4,4,1,1,5,1,1,1,,,8,7,3,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,66,1,66,,GER,000,2,1,66,1,66,1,,,1,1946,1,1946,2,,,,,,,4,1,20,30,50,3,3,1,2,2,2,2,20,20,30,50,15,18,20,18,18,45,30,40,50,5,5,5,5,5,4,4,4,4,4,4,4,8,0,10,2,6,6,6,5,3,4,4,3,4,4,2,3,2,3,3,1,2,1,4,1,4,1,2,5,1,4,4,4,4,5,7,2,,,3,1,1,5,1,3,1,1,3,1,2,4,2,,,,,,,,,1,1,,,,,,,,,,,,,,,1926,81.41999816894531,81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,3,0,,,,,,,,,,,,,,,,,,,,,,,,4,9.0,0,0,0,0,0,1,0,0,0,0,0,0,,6,,,2,1,,1,,1,5,2,,5,5,40.0,40.0,7222,34,2,2,,,2,4,,3,1,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,2,2,2,,5,1,3,,,,2,6,,,,2,2,2,1,2,2,5,5,3,3,1,6,5,1,4,6,1,2,5,1,5,2,2,2,4,2,6,6,,,,,,,,,,,,,,,,,,,,,,,,,,30,9,2007,20,50,30,9,2007,21,50,60,1,3,1,30,9,2007,0.41429999470710754,0.4535696804523468,0.2891160845756531
ESS3e03_7,3,3.7,01.12.2018,5588.0,AT,6,3,1,1,0,,6,1,8,9,1,1,5,5,5,1,5,5,5,8,1,5,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,,1,1,5,,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,0,5,5,1,4,5,7,1,1,1,4,5,3,3,3,1,7,5,5,6,1,2,2,2,2,3,4,,2,3,2,1,4,1,2,,2,,0,7,7,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,66,1,66,,GER,000,2,1,66,1,66,1,1974,1974,1,1974,1,1974,1,1,1981,,1,2006,,8,2,25,45,70,4,5,5,1,5,1,5,23,30,30,60,17,17,19,25,30,55,25,50,60,3,5,3,2,3,1,2,3,3,3,4,3,0,10,10,1,2,1,1,5,2,4,5,2,1,4,2,2,1,3,1,2,4,4,3,1,1,1,5,2,1,1,2,1,4,1,5,10,2,5,6,1,2,6,1,1,1,1,1,3,5,4,2,,,,,,,,,2,2,1,,,,,,,,,,,,,,1954,53.16999816894531,53,1951,,,,,,,,,,,,,,1,,,,,,,,,,,,,,2,4,0,,,,,,,,,,,,,,,,,,,,,,,,6,14.0,0,0,0,0,0,1,0,1,0,0,0,0,6,6,1999,,2,1,2002,1,,1,2,2,,10,10,48.0,48.0,2331,80,2,2,,,1,1,6,2,2,1,3,0,0,0,0,1,1,0,0,0,0,0,0,0,5,2,,,,,,,,,3,1,,2,3,3,1,,2,3,2,1,1,,,2,2,1,1,2,2,1,4,1,1,3,1,6,2,6,1,1,1,1,1,4,5,1,1,1,1,3,9,,,,,,,,,,,,,,,,,,,,,,,,,,25,10,2007,14,0,25,10,2007,15,0,60,2,3,1,25,10,2007,0.8285999894142151,0.7086734175682068,0.2891160845756531
ESS3e03_7,3,3.7,01.12.2018,2511.0,AT,1,1,4,1,2,1,0,5,4,4,3,3,3,3,0,1,1,0,1,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,2,1,2,2,2,2,1,2,,,,,,,,,,,,,,,,,,,,,,,,,1,1,2,,,,,,,,,,,,,,,,,,,,,,,,,8,8,9,3,7,4,4,4,3,3,4,7,3,4,4,8,3,4,7,6,1,2,2,1,3,3,2,2,3,4,1,2,3,2,2,,1,1,4,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,GER,000,2,1,66,1,66,1,1960,1962,1,1962,1,1962,1,4,1964,1975,9,1995,,7,2,0,30,0,5,4,3,4,3,2,3,0,0,0,0,16,18,18,18,18,,0,0,70,1,4,5,5,5,2,4,2,3,3,3,3,7,3,5,2,4,5,5,1,2,4,3,2,2,2,2,3,1,2,2,1,2,2,1,2,2,2,1,1,4,3,3,4,2,3,8,8,5,2,5,5,6,2,3,2,2,1,3,1,3,4,2,,,,,,,,,1,1,,,,,,,,,,,,,,,1937,70.08000183105469,70,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,3,0,,,,,,,,,,,,,,,,,,,,,,,,4,14.0,0,0,0,0,0,1,0,0,0,0,0,0,,6,2000,,2,1,2000,1,,1,5,1,30.0,10,2,40.0,45.0,3100,29,2,2,,,2,5,6,2,3,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,5,1,,1,1,3,3,,,,2,6,,,,2,2,1,1,2,5,1,3,2,1,1,4,3,2,3,2,1,2,1,1,5,2,2,1,4,1,5,4,,,,,,,,,,,,,,,,,,,,,,,,,,7,8,2007,13,0,7,8,2007,14,10,70,2,3,1,7,8,2007,0.41429999470710754,0.4591849744319916,0.2891160845756531
ESS3e03_7,3,3.7,01.12.2018,80203.0,BE,4,2,7,1,0,,5,1,5,2,2,4,2,4,2,1,6,2,4,8,1,,13,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,1,1,,14,,,,,,,,,,,,,,,,,,,,,,,,1,2,,,,,,,,,,,,,,,,,,,,,,,,,,1,6,3,3,6,8,9,4,1,1,2,2,4,4,4,0,4,5,7,7,1,5,2,1,4,,3,3,1,4,1,1,3,3,1,1,,,6,7,2,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,FRE,000,2,1,66,1,66,1,1975,1975,1,1975,1,1975,2,,,,,,,5,1,28,45,75,1,1,1,1,2,1,5,30,30,27,50,18,16,18,20,18,30,0,45,55,4,4,4,4,4,3,3,3,3,3,3,3,6,4,3,1,6,1,6,1,1,5,2,1,1,3,3,1,3,1,1,3,1,1,3,3,1,3,1,5,2,1,2,2,5,2,8,9,6,0,5,4,6,0,6,1,5,4,1,2,1,1,2,,,,,,,,,2,2,1,,,,,,,,,,,,,,1956,50.41999816894531,50,1962,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,3,3,4,,,,,,,,,,,,,,,,,,,,,,,12,11.0,0,0,0,0,0,0,0,1,0,0,0,0,,8,,0,2,1,2002,1,,1,4,2,,10,0,38.0,14.0,5220,85,2,1,1,1,1,2,6,3,2,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,,,8324,2,0,2,,10,10,10.0,1,1,,2,7,1,3,,,,2,5,,1,,,2,2,1,1,2,1,5,1,4,2,1,6,1,2,1,1,1,3,1,2,4,2,1,1,1,1,,3,,,,,,,,,,,,,,,,,,,,,,,,,31,10,2006,15,3,31,10,2006,16,2,59,1,,1,31,10,2006,1.0,0.830707848072052,0.48472079634666443
ESS3e03_7,3,3.7,01.12.2018,14507.0,BE,4,2,7,1,0,,0,2,5,2,3,4,3,3,1,6,0,3,0,2,1,,7,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,4,7,3,2,1,8,9,4,2,4,2,1,3,3,3,3,5,0,8,3,1,2,2,2,3,2,4,,2,2,2,4,3,1,2,,2,,7,5,3,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,DUT,000,2,1,66,1,66,1,1953,1955,2,,1,1964,1,1,1969,,2,2000,,6,2,25,45,70,2,4,5,5,4,4,4,23,23,25,60,21,18,20,20,23,50,35,35,55,4,4,4,4,3,3,3,3,3,3,3,2,9,0,2,1,6,5,6,3,3,4,4,1,2,2,3,2,1,2,1,2,1,2,1,3,,3,2,4,4,2,2,4,3,2,5,6,5,0,3,4,5,1,5,2,4,3,2,2,2,4,2,,,,,,,,,2,1,2,,,,,,,,,,,,,,1936,70.58000183105469,71,1942,,,,,,,,,,,,,,1,,,,,,,,,,,,,,4,3,4,5,,,,,,,,,,,,,,,,,,,,,,,1,12.0,0,0,0,0,0,1,0,0,0,0,0,0,,6,1995,,2,1,1995,1,,1,5,2,,7,0,36.0,40.0,3115,22,2,2,,,3,4,5,2,3,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,,,,,,,,,1,1,,2,6,1,3,,,,2,1,1,,2,2,2,1,1,1,2,3,5,2,5,2,5,4,3,3,6,2,2,4,3,5,3,5,2,2,3,3,,1,,,,,,,,,,,,,,,,,,,,,,,,,8,1,2007,10,25,8,1,2007,11,25,60,3,,1,8,1,2007,1.0,0.7862890958786011,0.48472079634666443
ESS3e03_7,3,3.7,01.12.2018,90606.0,BE,3,1,1,1,0,,7,5,7,6,2,2,2,6,6,6,4,4,7,8,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,1,2,2,2,2,2,2,1,,13,,,,,,,,,,,,,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,,,,,,,,,,8,9,6,5,4,4,5,2,1,1,4,10,2,2,2,4,8,5,9,7,1,3,2,2,2,3,3,3,2,3,1,2,1,3,1,1,,,7,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,FRE,000,2,1,66,1,66,1,2005,2000,2,,2,,2,,,,,,,2,1,24,40,70,5,4,2,2,4,4,5,27,28,28,50,16,15,22,22,22,30,30,40,60,5,4,4,2,4,1,2,2,3,3,2,2,6,3,6,2,6,6,6,2,2,4,2,1,1,1,4,1,4,1,1,3,2,2,3,3,2,3,1,4,4,1,1,3,5,4,8,8,6,0,4,6,5,0,5,2,4,2,1,2,4,1,1,8,7,5,1,2,2,2,3,1,2,,,,,,,,,,,,,,,1982,24.75,24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,5,7,9,,,,,,,,,,,,,,,,,,,,,,,10,16.0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,5,,,,1,,2,5,2,,10,0,37.0,43.0,2412,65,2,2,,,3,1,5,2,4,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,5,2,3,,4,3,3,,,,1,9,,2,2,,2,2,1,1,2,5,3,2,2,2,2,5,3,2,2,2,2,4,2,4,2,3,2,2,4,2,,2,,,,,,,,,,,,,,,,,,,,,,,,,27,11,2006,18,3,27,11,2006,18,45,42,1,,1,27,11,2006,1.0,0.9887475967407227,0.48472079634666443
ESS3e03_7,3,3.7,01.12.2018,22903.0,BE,4,4,0,,5,5,7,5,7,3,3,1,4,8,5,2,0,0,9,8,1,,8,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,1,2,2,1,,9,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,6,9,7,6,4,8,9,3,1,2,4,8,1,1,1,6,10,8,9,6,1,3,1,1,3,3,3,3,1,3,1,5,1,3,2,,1,1,0,7,7,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,DUT,000,2,1,66,1,66,1,1980,1980,1,1982,1,1987,1,2,1987,1990,0,,,8,2,20,50,75,4,4,4,3,4,2,4,20,25,30,65,18,14,16,18,18,55,25,55,70,3,5,5,5,5,2,4,4,4,4,4,4,5,0,3,1,6,3,4,1,1,5,1,1,2,2,4,1,3,1,2,4,1,2,3,4,1,3,1,4,5,1,2,4,4,2,9,8,5,0,5,4,5,1,5,2,4,4,2,4,2,4,1,9,7,4,3,3,1,1,1,4,1,1,2,1,,,,,,,,,,,,1955,51.25,51,1955,1987,1990,,,,,,,,,,,,,2,2,,,,,,,,,,,,4,5,7,9,,,,,,,,,,,,,,,,,,,,,,,11,18.0,1,0,0,0,0,0,0,0,0,0,0,0,,1,,0,,,,1,,1,5,1,1.0,10,1,40.0,55.0,2429,67,1,2,,,3,1,11,1,1,2,,0,0,0,0,0,0,0,0,0,0,1,0,0,,,,,,,,,,,5,2,2,,8,2,2,2,,8,1,1,1,,1,2,1,,1,1,2,2,2,2,3,2,2,4,2,4,2,2,3,2,2,3,4,4,3,2,5,2,,1,,,,,,,,,,,,,,,,,,,,,,,,,25,11,2006,14,0,25,11,2006,15,0,60,3,,1,25,11,2006,1.0,0.853951632976532,0.48472079634666443
ESS3e03_7,3,3.7,01.12.2018,80104.0,BE,5,2,3,0,0,,1,7,7,3,4,3,2,3,3,3,3,3,7,7,1,,12,,,,,,,,,,,,,,,,,,,,,,,,,2,2,2,2,2,2,2,1,,13,,,,,,,,,,,,,,,,,,,,,,,,3,2,,,,,,,,,,,,,,,,,,,,,,,,,,7,7,3,3,3,5,9,1,1,1,2,2,2,3,4,3,3,2,8,4,1,2,2,3,2,3,2,3,2,4,1,1,3,3,1,1,,,7,7,4,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,66,1,66,,FRE,000,2,1,66,1,66,1,1964,1969,1,1969,1,1969,1,1,1972,,0,,,11,2,28,30,70,1,4,1,1,4,1,5,25,25,25,60,20,16,21,21,21,60,30,35,60,3,3,3,3,1,1,1,3,3,3,3,2,8,8,8,1,6,5,6,4,2,5,3,2,2,2,3,1,2,2,1,3,2,2,4,2,1,2,2,2,4,1,1,4,5,2,7,7,5,3,3,2,5,1,1,2,4,2,2,1,3,4,2,,,,,,,,,2,2,1,,,,,,,,,,,,,,1947,59.0,59,1948,,,,,,,,,,,,,,1,,,,,,,,,,,,,,3,2,2,3,,,,,,,,,,,,,,,,,,,,,,,1,10.0,0,0,0,0,0,0,0,1,0,0,0,0,,8,,0,2,1,1999,1,,1,4,1,12.0,8,0,20.0,20.0,1319,67,2,2,,,3,4,6,2,1,1,2,0,0,0,0,0,1,0,0,0,0,0,0,0,,2,,,,,,,,,2,1,,1,2,2,3,,,,2,1,1,,2,2,2,1,1,1,2,5,5,1,2,2,4,4,2,2,2,1,1,1,1,4,1,1,1,1,1,3,,3,,,,,,,,,,,,,,,,,,,,,,,,,23,11,2006,16,8,23,11,2006,17,5,57,3,,1,23,11,2006,1.0,1.0840693712234497,0.48472079634666443
