excluded,r,p,n
FR,-0.8973478491022433,1.3495753105211172e-05,14
FI,-0.8838399913735088,2.7491397964093816e-05,14
IE,-0.8711538631395356,4.9760730771243754e-05,14
BE,-0.8659946226240386,6.224880466407058e-05,14
NL,-0.8599051854312532,8.015732171846872e-05,14
ES,-0.8592376850700455,8.235160690881503e-05,14
DE,-0.856982590495402,9.01292251305545e-05,14
AT,-0.8563489960741714,9.241865992881457e-05,14
SE,-0.8557815366589627,9.450904793118121e-05,14
DK,-0.8541699412168356,0.00010065628560273876,14
CH,-0.8537180225566606,0.00010243717384666971,14
PT,-0.8518117123989936,0.00011023358296014514,14
IT,-0.835866701138094,0.00019625076916172222,14
GB,-0.8079942359027419,0.00047168101928220355,14
NO,-0.7925784819437174,0.0007233251009576697,14
