country_excluded,coef,se,p,ci_lo,ci_hi,n
AL,0.11732209224279276,0.03491118065806187,0.0007777676996811155,0.04889743549522016,0.18574674899036536,124409
AT,0.11633864045636508,0.03482308204902426,0.0008352279358390554,0.04808665380959426,0.1845906271031359,120639
BE,0.11698509664464946,0.034909075013854714,0.0008048044494762098,0.048564566883887134,0.18540562640541178,119238
BG,0.11838038998298807,0.03493563097195734,0.0007026866168595709,0.04990781150076963,0.1868529684652065,122117
CH,0.11573231029483352,0.03485252914230959,0.0008981492184688983,0.04742260840577407,0.184042012183893,120801
CY,0.11754704569549991,0.034922662244926996,0.0007628757581189144,0.04909988545118629,0.18599420593981353,123871
CZ,0.11866745383561736,0.03497788720892962,0.0006922200942543334,0.05011205465081106,0.18722285302042366,119684
DE,0.11717536143764258,0.03494653370075515,0.0007994373205828068,0.04868141399964723,0.18566930887563793,116407
DK,0.13320838567947207,0.03540515464998792,0.00016829000058155006,0.06381555769842492,0.20260121366051922,121276
EE,0.11882307671234252,0.03499387260422315,0.0006849348982023503,0.050236346728482276,0.18740980669620277,119829
ES,0.11672029149921966,0.03493122285054743,0.0008334755304654488,0.04825635277620413,0.18518423022223518,120138
FI,0.1261235720213275,0.03906400754803243,0.0012438086596674302,0.04955952413538313,0.2026876199072719,118020
FR,0.11605102165114366,0.03485380455247289,0.0008695475306251837,0.04773882000409861,0.18436322329818872,118620
GB,0.07300828393135463,0.036685014505408134,0.046575608125884065,0.0011069767284252185,0.14490959113428403,118993
HR,0.11741147200264429,0.03490770890330407,0.0007696568390037978,0.04899361976936012,0.18582932423592846,124026
HU,0.11781204077601816,0.03493490158789209,0.0007453489718663627,0.049340891860298525,0.1862831896917378,121266
IE,0.16094368551319832,0.036856151079243886,1.2607624087167053e-05,0.08870695678911326,0.23318041423728336,118769
IS,0.10600652174660992,0.03543631006932078,0.0027764132506977487,0.036552630265747135,0.1754604132274727,122970
IT,0.11760369476086638,0.03493560702724201,0.0007618411449893349,0.04913116320942762,0.18607622631230514,122384
LT,0.11842202001900153,0.03495386075177246,0.0007041645725970337,0.04991371182489937,0.18693032821310368,119233
LV,0.11754385384077397,0.03491404749463618,0.0007608342978738744,0.04911357819676615,0.18597412948478179,124430
ME,0.11743549418786887,0.03490554182020258,0.0007671593744795232,0.049021889359415136,0.18584909901632263,124619
NL,0.1167322440622868,0.03490083365210593,0.0008237650257920631,0.04832786707373565,0.18513662105083795,119325
NO,0.0881437799772115,0.03387619912929755,0.009269852797147437,0.021747649750681164,0.15453991020374183,120274
PL,0.11772255232437548,0.03497785909859488,0.0007636890999728413,0.04916720823481287,0.1862778964139381,120927
PT,0.1174434035807639,0.03495050029678868,0.0007786402848549066,0.048941681757401614,0.18594512540412617,121561
RS,0.11723378028742189,0.03489690147870191,0.0007810276658712804,0.048837110217123586,0.1856304503577202,124010
SE,0.1323735094878579,0.0377233083027936,0.00044968639661962704,0.058437183836681644,0.20630983513903414,119205
SI,0.1170954132678328,0.03493122017608615,0.0008018056054444464,0.04863147978666507,0.18555934674900054,121542
SK,0.11788525639610482,0.034933512172489994,0.0007393361582433084,0.049416830684532856,0.18635368210767678,123287
UA,0.11767272828472954,0.03490335291994319,0.000747905738357194,0.049263413621949956,0.18608204294750913,123699
XK,0.11761668940770806,0.03491615840390566,0.0007556575742751796,0.04918227645755742,0.1860511023578587,124670
