excluded,r,p,n
IT,-0.8699709330791514,5.24253844354408e-05,14
SE,-0.6357977331906259,0.014528862051860773,14
IE,-0.6356389336478446,0.014561152325962782,14
DK,-0.6337421962038381,0.014951083094481624,14
FR,-0.6301724822303586,0.015706485021469863,14
CH,-0.627318838295738,0.016330977789535493,14
ES,-0.6250631297756095,0.016837839115416427,14
AT,-0.6218037903635869,0.017591223839314385,14
FI,-0.6201800988222694,0.017975945293979407,14
PT,-0.6077611663122682,0.02113334366630599,14
BE,-0.6070442840527625,0.02132756706479044,14
DE,-0.6060998419395457,0.021585493929263767,14
NL,-0.6039354407354746,0.022185455483437574,14
GB,-0.525856087302121,0.053434911101117165,14
NO,-0.4956759676940233,0.07147296255084298,14
