excl_a,excl_b,r,p,n
GB,NO,-0.33520842801603573,0.2628771800702569,13
BE,NO,-0.42883680047322925,0.14369617047874728,13
NL,NO,-0.4350374588049202,0.1373623814169985,13
DE,NO,-0.4725008669775258,0.1030031287224877,13
CH,NO,-0.4725733600982151,0.10294297838893117,13
NO,PT,-0.4743282431685023,0.10149415962187894,13
DE,GB,-0.48494363409201335,0.09302537102036802,13
GB,PT,-0.4850580874896563,0.09293679673234854,13
FI,NO,-0.4922810155243961,0.08746341174034442,13
AT,NO,-0.4941380686919266,0.08609292089075697,13
FR,NO,-0.49508258082675705,0.0854015965157028,13
ES,NO,-0.49666511737022445,0.08425188769416014,13
GB,NL,-0.4999042264194696,0.08193213991352452,13
BE,GB,-0.5014516739644697,0.0808396856072376,13
DK,NO,-0.5073713805375126,0.07675380503047503,13
NO,SE,-0.5082346707198855,0.07617020870242348,13
IE,NO,-0.5117446489999967,0.07382924645948954,13
FI,GB,-0.513290598454278,0.07281430089019113,13
AT,GB,-0.5168947250781414,0.07048607690193816,13
DK,GB,-0.5177270301855933,0.06995592330434432,13
ES,GB,-0.5244603672456588,0.06576938047072199,13
CH,GB,-0.529515721322598,0.06274437781068788,13
GB,IE,-0.5305896402026619,0.06211465200204802,13
FR,GB,-0.5339593772509666,0.06016770385315472,13
GB,SE,-0.5387233771061146,0.05748947265939183,13
BE,NL,-0.5717276268908813,0.0412118108866186,13
DE,PT,-0.5839722011667543,0.03612188136916208,13
DE,NL,-0.5865035288003863,0.03512955844686557,13
NL,PT,-0.5879836281577208,0.0345586187386024,13
BE,DE,-0.589519223387438,0.03397345217601806,13
BE,PT,-0.5917761020633114,0.0331265915264288,13
BE,CH,-0.5972849939767692,0.03112431143942211,13
DE,FI,-0.5997195226661749,0.03026829435569693,13
FI,NL,-0.6004940203455066,0.029999624669435183,13
FI,PT,-0.6015215436060549,0.029645886109271113,13
AT,DE,-0.6018137502469507,0.029545851422317488,13
AT,NL,-0.6019792999330235,0.029489286805966842,13
AT,PT,-0.6036160771324728,0.02893430557748342,13
BE,FI,-0.6041295233341725,0.02876180310414688,13
ES,NL,-0.6044427944529726,0.028656925242782596,13
CH,NL,-0.6052475871878962,0.028388782549134323,13
AT,BE,-0.6056524892726864,0.028254575822943873,13
DE,ES,-0.6062006680402172,0.028073623266869806,13
FR,NL,-0.6062515329045275,0.028056876203853543,13
ES,PT,-0.6081309541754224,0.027443219162881755,13
BE,ES,-0.6086529627036313,0.027274543245320915,13
CH,DE,-0.6107080029661726,0.026617909692620675,13
DE,DK,-0.6117335255022646,0.026294623528137294,13
CH,PT,-0.6118926606350829,0.026244718344096647,13
DE,FR,-0.6128515608152969,0.025945481525796486,13
NL,SE,-0.6140072983133682,0.025588172243360737,13
BE,FR,-0.6146948473339764,0.025377338984551148,13
DK,NL,-0.6148509143475976,0.025329660984505155,13
FR,PT,-0.615256483944947,0.02520606991245612,13
DK,PT,-0.6157645877516277,0.02505186213371911,13
DE,IE,-0.615794326015953,0.025042858306679152,13
IE,NL,-0.6159263432667893,0.025002916415770727,13
AT,FI,-0.6168532272129919,0.024723810647268595,13
DE,SE,-0.6179223462794081,0.02440474131991359,13
IE,PT,-0.6189519233178887,0.024100359974991045,13
PT,SE,-0.6205517072469919,0.02363298714961141,13
ES,FI,-0.6206130695714905,0.023615194933350344,13
BE,DK,-0.6215254392106029,0.023351818159839135,13
BE,SE,-0.6222275291918948,0.023150629104819756,13
AT,ES,-0.6222755925707429,0.023136903300737942,13
BE,IE,-0.6232268160551331,0.02286649374225231,13
CH,FI,-0.6238660690393134,0.02268609013065966,13
AT,CH,-0.6252952556751329,0.0222865770387516,13
FI,FR,-0.6266144125803367,0.021922474265343817,13
CH,ES,-0.6276233185887642,0.021646997594131162,13
AT,FR,-0.6281342200578381,0.021508482779646034,13
DK,FI,-0.6285008654946194,0.02140948483081252,13
CH,FR,-0.6292815317287702,0.021199824864393632,13
AT,DK,-0.6304249717520061,0.020895494568732645,13
FI,IE,-0.6310329731801783,0.02073500156696646,13
ES,FR,-0.6312887421747664,0.020667761277256905,13
FI,SE,-0.6319377070948999,0.020497879501496775,13
AT,IE,-0.632778002681491,0.020279458036681682,13
AT,SE,-0.633511034551028,0.020090336377716945,13
DK,ES,-0.6348312101823336,0.01975304686681153,13
CH,SE,-0.6365262117342775,0.019326198070828082,13
ES,IE,-0.6366538511137902,0.01929433559203703,13
ES,SE,-0.6368784782134808,0.01923835726067905,13
CH,DK,-0.6380510136868969,0.018948117520928277,13
CH,IE,-0.638476933968278,0.01884350143936559,13
DK,FR,-0.6429422722438114,0.017772467507194963,13
FR,SE,-0.6432833628525412,0.017692568399046198,13
FR,IE,-0.6438846090954491,0.017552382830701166,13
DK,SE,-0.6486006161147323,0.016481415830764987,13
DK,IE,-0.6486324580079025,0.01647435537416277,13
IE,SE,-0.6494178032659397,0.01630093276978213,13
IT,NO,-0.8152496544801803,0.0006836235270355156,13
GB,IT,-0.8464235161209951,0.0002636013879407602,13
IT,PT,-0.8623734844809842,0.0001489334798518294,13
DE,IT,-0.8653950325879441,0.00013261811924428324,13
FI,IT,-0.8687756331490097,0.00011608930236953866,13
