estimator,excluded,r,type,excluded_pair
A_bivariate_per_country,AT,-0.6218037903635869,loo1,
A_bivariate_per_country,BE,-0.6070442840527625,loo1,
A_bivariate_per_country,CH,-0.6273188382957378,loo1,
A_bivariate_per_country,DE,-0.6060998419395456,loo1,
A_bivariate_per_country,DK,-0.633742196203838,loo1,
A_bivariate_per_country,ES,-0.6250631297756094,loo1,
A_bivariate_per_country,FI,-0.6201800988222693,loo1,
A_bivariate_per_country,FR,-0.6301724822303586,loo1,
A_bivariate_per_country,GB,-0.5258560873021207,loo1,
A_bivariate_per_country,IE,-0.6356389336478445,loo1,
A_bivariate_per_country,IT,-0.8699709330791515,loo1,
A_bivariate_per_country,NL,-0.6039354407354746,loo1,
A_bivariate_per_country,NO,-0.49567596769402317,loo1,
A_bivariate_per_country,PT,-0.6077611663122681,loo1,
A_bivariate_per_country,SE,-0.6357977331906258,loo1,
A_bivariate_per_country,,-0.6056524892726863,loo2,AT+BE
A_bivariate_per_country,,-0.6252952556751327,loo2,AT+CH
A_bivariate_per_country,,-0.6018137502469505,loo2,AT+DE
A_bivariate_per_country,,-0.6304249717520058,loo2,AT+DK
A_bivariate_per_country,,-0.6222755925707428,loo2,AT+ES
A_bivariate_per_country,,-0.6168532272129917,loo2,AT+FI
A_bivariate_per_country,,-0.628134220057838,loo2,AT+FR
A_bivariate_per_country,,-0.5168947250781413,loo2,AT+GB
A_bivariate_per_country,,-0.6327780026814909,loo2,AT+IE
A_bivariate_per_country,,-0.8693822896310269,loo2,AT+IT
A_bivariate_per_country,,-0.6019792999330233,loo2,AT+NL
A_bivariate_per_country,,-0.49413806869192656,loo2,AT+NO
A_bivariate_per_country,,-0.6036160771324727,loo2,AT+PT
A_bivariate_per_country,,-0.6335110345510278,loo2,AT+SE
A_bivariate_per_country,,-0.5972849939767689,loo2,BE+CH
A_bivariate_per_country,,-0.5895192233874379,loo2,BE+DE
A_bivariate_per_country,,-0.6215254392106027,loo2,BE+DK
