model,variable,coefficient,se,p_value
model1,RTI (std),0.1818***,(0.0094),0.0000
model2,task_z,0.2040***,(0.0130),0.0000
model2,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Continental]",0.0294,(0.0164),0.0729
model2,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Eastern]",-0.1468***,(0.0162),0.0000
model2,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Liberal]",0.1172***,(0.0213),0.0000
model2,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Southern]",0.0194,(0.0219),0.3756
model3,RTI (std),0.2160,(0.0078),0.0000
model4,task_z,0.1364***,(0.0341),0.0001
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Continental]",-0.0277,(0.0478),0.5626
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Eastern]",-0.0264,(0.0444),0.5523
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Liberal]",-0.0305,(0.0565),0.5892
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Southern]",-0.0077,(0.0612),0.8992
model4,task_z:non_college,0.0742*,(0.0374),0.0475
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Continental]:non_college",0.0400,(0.0518),0.4396
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Eastern]:non_college",-0.0585,(0.0488),0.2303
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Liberal]:non_college",0.0837,(0.0623),0.1787
model4,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Southern]:non_college",0.0245,(0.0669),0.7143
model5,task_z,0.0440***,(0.0063),0.0000
model5,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Continental]",0.0197*,(0.0079),0.0130
model5,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Eastern]",0.0221**,(0.0079),0.0049
model5,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Liberal]",0.0110,(0.0103),0.2851
model5,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Southern]",-0.0560***,(0.0106),0.0000
model6,task_z,0.2197***,(0.0324),0.0000
model6,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Continental]",0.0404,(0.0481),0.4006
model6,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Eastern]",-0.3826***,(0.0745),0.0000
model6,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Liberal]",-0.1229*,(0.0574),0.0324
model6,"task_z:C(welfare_regime, Treatment(reference=""Nordic""))[T.Southern]",-0.3070**,(0.1077),0.0044
