excluded,beta,se,p,n_obs,n_groups,n_countries
CH,-0.058774525604467685,0.027036012840776818,0.02971004199377191,77517,53,14
IT,-0.057661599204389014,0.011841325831299402,1.1186840640628481e-06,79100,54,14
FI,-0.05685299114543022,0.010447794205959053,5.279635714028762e-08,74736,53,14
ES,-0.054337142390781766,0.07476613544186345,0.46737212370079495,76854,53,14
SE,-0.054273486797451184,0.01062942727543047,3.2911009004498997e-07,75921,53,14
IE,-0.05410493978222556,0.07382975957550861,0.4636598321811375,75485,53,14
DE,-0.05393209944560229,0.07497533946941186,0.471936888572845,73123,53,14
DK,-0.05372348514385096,0.0750621534527473,0.4741642532337734,77992,54,14
FR,-0.0536676414872489,0.021794024873597374,0.013797472855377461,75336,53,14
BE,-0.053659360054732125,0.011226906816780596,1.7570373274635543e-06,75954,53,14
PT,-0.05184511270765528,0.010279012399579597,4.5641580037972986e-07,78277,53,14
AT,-0.05096556326084523,0.010423686333269813,1.0114421583152966e-06,77355,54,14
NL,-0.04859164751022942,0.01027814817751159,2.271158234955774e-06,76041,53,14
NO,-0.04469432167453796,0.0833669806062694,0.5918788014503344,76990,53,14
GB,-0.043822444989386665,0.010415403245285889,2.582513449026387e-05,75709,53,14
